Traceback (most recent call last):
  File "manage.py", line 8, in <module>
    from django.core.management import execute_from_command_line
ImportError: No module named django.core.management
Traceback (most recent call last):
  File "manage.py", line 8, in <module>
    from django.core.management import execute_from_command_line
ImportError: No module named django.core.management
[21/Mar/2018 01:28:03]"GET /hnph/assets/img/quote-girl-two.jpg HTTP/1.1" 404 2718
[21/Mar/2018 01:28:03]"GET /hnph/assets/img/news2.jpg HTTP/1.1" 404 2691
[21/Mar/2018 01:28:03]"GET /hnph/assets/img/news1.jpg HTTP/1.1" 404 2691
[21/Mar/2018 01:28:03]"GET /static/assets/css/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 1743
[21/Mar/2018 01:28:03]"GET /static/assets/img/%E8%B5%84%E8%B4%A8%E8%AE%A4%E8%AF%81%E4%B9%A6.PNG HTTP/1.1" 404 1737
[21/Mar/2018 01:28:03]"GET /static/assets/css/bootstrap/bootstrap-theme.min.css.map HTTP/1.1" 404 1761
[21/Mar/2018 01:36:44]"GET /hnph/?nsukey=QGfkHxP%2FCxP1qPOWg5w16%2FgXfazPoUt%2FuqQgMWyXugIV%2BMRCBNDQEzWwS5Ib8Rc3KZ04ACUgGIEPiCbnN17im7H48f4uKa9aQBzIzYYG5hSHr5ZjoQyIetJv7C1ahqDCKLrX2AWsGZE2BwCvxld0HeXCLhzrVsA3YpHpgBeQRas3J2rgwk3HUHGng3tfhkAkMBI2Nr%2B0wm2V8l4YphD10Q%3D%3D HTTP/1.1" 200 31211
[21/Mar/2018 01:36:44]"GET /hnph/?nsukey=QGfkHxP%2FCxP1qPOWg5w16%2FgXfazPoUt%2FuqQgMWyXugIV%2BMRCBNDQEzWwS5Ib8Rc3KZ04ACUgGIEPiCbnN17im7H48f4uKa9aQBzIzYYG5hSHr5ZjoQyIetJv7C1ahqDCKLrX2AWsGZE2BwCvxld0HeXCLhzrVsA3YpHpgBeQRas3J2rgwk3HUHGng3tfhkAkMBI2Nr%2B0wm2V8l4YphD10Q%3D%3D HTTP/1.1" 200 31211
[21/Mar/2018 01:36:44]"GET /static/assets/css/flexslider.css HTTP/1.1" 200 6838
[21/Mar/2018 01:36:44]"GET /static/assets/css/owl.carousel.css HTTP/1.1" 200 8871
[21/Mar/2018 01:36:44]"GET /static/assets/css/ionicons.min.css HTTP/1.1" 200 51284
[21/Mar/2018 01:36:44]"GET /static/assets/css/bootstrap/bootstrap-theme.min.css HTTP/1.1" 200 23409
[21/Mar/2018 01:36:44]"GET /static/assets/css/bootstrap/bootstrap.min.css HTTP/1.1" 200 121260
[21/Mar/2018 01:36:44]"GET /static/assets/css/style.css HTTP/1.1" 200 167842
[21/Mar/2018 01:36:44]"GET /static/assets/css/magnific-popup.css HTTP/1.1" 200 8945
[21/Mar/2018 01:36:45]"GET /static/assets/js/bootstrap/bootstrap.min.js HTTP/1.1" 200 36868
[21/Mar/2018 01:36:45]"GET /static/assets/js/jquery.flexslider-min.js HTTP/1.1" 200 22034
[21/Mar/2018 01:36:45]"GET /static/assets/js/owl.carousel.min.js HTTP/1.1" 200 40401
[21/Mar/2018 01:36:46]"GET /static/assets/js/isotope.min.js HTTP/1.1" 200 40847
[21/Mar/2018 01:36:46]"GET /static/assets/js/jquery.magnific-popup.min.js HTTP/1.1" 200 21200
[21/Mar/2018 01:36:47]"GET /static/assets/js/jquery.scrollTo.min.js HTTP/1.1" 200 2447
[21/Mar/2018 01:36:47]"GET /static/assets/js/jquery.appear.js HTTP/1.1" 200 1485
[21/Mar/2018 01:36:47]"GET /static/assets/js/smooth.scroll.min.js HTTP/1.1" 200 6589
[21/Mar/2018 01:36:47]"GET /static/assets/js/jquery.scrolly.js HTTP/1.1" 200 2273
[21/Mar/2018 01:36:47]"GET /static/assets/js/jquery.countTo.js HTTP/1.1" 200 949
[21/Mar/2018 01:36:47]"GET /static/assets/js/plugins-scroll.js HTTP/1.1" 200 6305
[21/Mar/2018 01:36:47]"GET /static/assets/js/imagesloaded.min.js HTTP/1.1" 200 8113
[21/Mar/2018 01:36:47]"GET /static/assets/js/pace.min.js HTTP/1.1" 200 12507
[21/Mar/2018 01:36:47]"GET /static/assets/js/main.js HTTP/1.1" 200 15025
[21/Mar/2018 01:36:49]"GET /static/assets/js/jquery.min.js HTTP/1.1" 200 84345
[21/Mar/2018 01:37:44]"GET /hnph/?nsukey=QGfkHxP%2FCxP1qPOWg5w16%2FgXfazPoUt%2FuqQgMWyXugIV%2BMRCBNDQEzWwS5Ib8Rc3KZ04ACUgGIEPiCbnN17im7H48f4uKa9aQBzIzYYG5hSHr5ZjoQyIetJv7C1ahqDCKLrX2AWsGZE2BwCvxld0HeXCLhzrVsA3YpHpgBeQRas3J2rgwk3HUHGng3tfhkAkMBI2Nr%2B0wm2V8l4YphD10Q%3D%3D HTTP/1.1" 200 31211
[21/Mar/2018 01:37:45]"GET /static/assets/js/jquery.min.js HTTP/1.1" 200 84345
[21/Mar/2018 01:37:46]"GET /static/assets/js/bootstrap/bootstrap.min.js HTTP/1.1" 200 36868
[21/Mar/2018 01:37:47]"GET /static/assets/js/jquery.flexslider-min.js HTTP/1.1" 200 22034
[21/Mar/2018 01:37:47]"GET /static/assets/js/owl.carousel.min.js HTTP/1.1" 200 40401
[21/Mar/2018 01:37:48]"GET /static/assets/js/isotope.min.js HTTP/1.1" 200 40847
[21/Mar/2018 01:37:48]"GET /static/assets/js/jquery.magnific-popup.min.js HTTP/1.1" 200 21200
[21/Mar/2018 02:46:01]"GET /hnph/ HTTP/1.1" 200 31211
[21/Mar/2018 02:46:01]"GET /static/assets/css/bootstrap/bootstrap-theme.min.css HTTP/1.1" 200 23409
[21/Mar/2018 02:46:01]"GET /static/assets/css/ionicons.min.css HTTP/1.1" 200 51284
[21/Mar/2018 02:46:01]"GET /static/assets/css/flexslider.css HTTP/1.1" 200 6838
[21/Mar/2018 02:46:01]"GET /static/assets/css/bootstrap/bootstrap.min.css HTTP/1.1" 200 121260
[21/Mar/2018 02:46:01]"GET /static/assets/css/owl.carousel.css HTTP/1.1" 200 8871
[21/Mar/2018 02:46:02]"GET /static/assets/css/magnific-popup.css HTTP/1.1" 200 8945
[21/Mar/2018 02:46:02]"GET /static/assets/css/style.css HTTP/1.1" 200 167842
[21/Mar/2018 02:46:04]"GET /static/assets/img/logohnph.png HTTP/1.1" 200 99323
[21/Mar/2018 02:46:05]"GET /static/assets/js/owl.carousel.min.js HTTP/1.1" 200 40401
[21/Mar/2018 02:46:05]"GET /static/assets/js/bootstrap/bootstrap.min.js HTTP/1.1" 200 36868
[21/Mar/2018 02:46:05]"GET /static/assets/js/jquery.flexslider-min.js HTTP/1.1" 200 22034
[21/Mar/2018 02:46:06]"GET /static/assets/js/isotope.min.js HTTP/1.1" 200 40847
[21/Mar/2018 02:46:07]"GET /static/assets/fonts/ionicons.ttf?v=2.0.0 HTTP/1.1" 200 188508
[21/Mar/2018 02:46:07]"GET /static/assets/js/jquery.magnific-popup.min.js HTTP/1.1" 200 21200
[21/Mar/2018 02:46:07]"GET /static/assets/js/jquery.min.js HTTP/1.1" 200 84345
[21/Mar/2018 02:46:08]"GET /static/assets/js/jquery.scrollTo.min.js HTTP/1.1" 200 2447
[21/Mar/2018 02:46:08]"GET /static/assets/js/smooth.scroll.min.js HTTP/1.1" 200 6589
[21/Mar/2018 02:46:08]"GET /static/assets/js/jquery.appear.js HTTP/1.1" 200 1485
[21/Mar/2018 02:46:08]"GET /static/assets/js/jquery.countTo.js HTTP/1.1" 200 949
[21/Mar/2018 02:46:08]"GET /static/assets/js/jquery.scrolly.js HTTP/1.1" 200 2273
[21/Mar/2018 02:46:08]"GET /static/assets/js/plugins-scroll.js HTTP/1.1" 200 6305
[21/Mar/2018 02:46:08]"GET /static/assets/js/imagesloaded.min.js HTTP/1.1" 200 8113
[21/Mar/2018 02:46:09]"GET /static/assets/js/pace.min.js HTTP/1.1" 200 12507
[21/Mar/2018 02:46:09]"GET /static/assets/js/main.js HTTP/1.1" 200 15025
[21/Mar/2018 02:46:09]"GET /static/assets/css/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 1743
[21/Mar/2018 02:46:09]"GET /static/assets/css/bootstrap/bootstrap-theme.min.css.map HTTP/1.1" 404 1761
[21/Mar/2018 02:46:09]"GET /static/assets/img/jianceyi.jpg HTTP/1.1" 200 58372
[21/Mar/2018 02:46:11]"GET /static/assets/img/quote-girl.jpg HTTP/1.1" 200 31727
[21/Mar/2018 02:46:11]"GET /static/assets/img/quote-man.jpg HTTP/1.1" 200 29172
[21/Mar/2018 02:46:12]"GET /hnph/assets/img/quote-girl-two.jpg HTTP/1.1" 404 2718
[21/Mar/2018 02:46:12]"GET /hnph/assets/img/news1.jpg HTTP/1.1" 404 2691
[21/Mar/2018 02:46:12]"GET /hnph/assets/img/news2.jpg HTTP/1.1" 404 2691
[21/Mar/2018 02:46:12]"GET /static/assets/img/%E8%B5%84%E8%B4%A8%E8%AE%A4%E8%AF%81%E4%B9%A6.PNG HTTP/1.1" 404 1737
[21/Mar/2018 02:46:14]"GET /hnph/assets/img/quote-girl-two.jpg HTTP/1.1" 404 2718
[21/Mar/2018 02:46:17]"GET /static/assets/img/Z9A0178.jpg HTTP/1.1" 200 257443
[21/Mar/2018 02:46:22]"GET /static/assets/img/Z9A0203.jpg HTTP/1.1" 200 467329
[21/Mar/2018 02:46:22]"GET /static/assets/img/pic_video_icon.PNG HTTP/1.1" 200 549013
[21/Mar/2018 02:46:23]"GET /static/assets/img/Z9A0086.jpg HTTP/1.1" 200 257965
[21/Mar/2018 02:46:35]"GET /static/assets/img/mind.PNG HTTP/1.1" 200 1125874
[21/Mar/2018 02:46:35]"GET /static/assets/img/689048516815929789.jpg HTTP/1.1" 404 1716
[21/Mar/2018 02:47:01]"GET /hnph/ HTTP/1.1" 200 31211
[21/Mar/2018 02:47:01]"GET /hnph/assets/img/quote-girl-two.jpg HTTP/1.1" 404 2718
[21/Mar/2018 02:47:01]"GET /static/assets/img/%E8%B5%84%E8%B4%A8%E8%AE%A4%E8%AF%81%E4%B9%A6.PNG HTTP/1.1" 404 1737
[21/Mar/2018 02:47:01]"GET /hnph/assets/img/news1.jpg HTTP/1.1" 404 2691
[21/Mar/2018 02:47:01]"GET /static/assets/css/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 1743
[21/Mar/2018 02:47:01]"GET /hnph/assets/img/news2.jpg HTTP/1.1" 404 2691
[21/Mar/2018 02:47:01]"GET /static/assets/css/bootstrap/bootstrap-theme.min.css.map HTTP/1.1" 404 1761
[21/Mar/2018 02:52:14]"GET /hnph/ HTTP/1.1" 200 31211
[21/Mar/2018 02:52:14]"GET /static/assets/css/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 1743
[21/Mar/2018 02:52:14]"GET /hnph/assets/img/quote-girl-two.jpg HTTP/1.1" 404 2718
[21/Mar/2018 02:52:14]"GET /static/assets/img/%E8%B5%84%E8%B4%A8%E8%AE%A4%E8%AF%81%E4%B9%A6.PNG HTTP/1.1" 404 1737
[21/Mar/2018 02:52:14]"GET /hnph/assets/img/news1.jpg HTTP/1.1" 404 2691
[21/Mar/2018 02:52:14]"GET /hnph/assets/img/news2.jpg HTTP/1.1" 404 2691
[21/Mar/2018 02:52:15]"GET /static/assets/css/bootstrap/bootstrap-theme.min.css.map HTTP/1.1" 404 1761
[21/Mar/2018 03:07:12]"GET /hnph/?nsukey=mZruuvtzUggNIehZugxY1wA%2BRZ2iASUtpekElLmiSSG5z7%2B4VuMz9%2BRyX12EIZ4nYuHb%2B%2BFPV1agox27vmSMJ9rDD7sCNn11YDyMtUBxj6IFkuqSDSmw7YRqcXrFHNLCm7gvXMqGbirbEAot7fWDJF5UxLUF5QBXU%2BAONUhwwzLVRrd0Jg7CtvS%2BVPDW08EmHhxNr6nk%2BAu3VC9HmTXTqA%3D%3D HTTP/1.1" 200 31211
[21/Mar/2018 03:07:13]"GET /hnph/?nsukey=mZruuvtzUggNIehZugxY1wA%2BRZ2iASUtpekElLmiSSG5z7%2B4VuMz9%2BRyX12EIZ4nYuHb%2B%2BFPV1agox27vmSMJ9rDD7sCNn11YDyMtUBxj6IFkuqSDSmw7YRqcXrFHNLCm7gvXMqGbirbEAot7fWDJF5UxLUF5QBXU%2BAONUhwwzLVRrd0Jg7CtvS%2BVPDW08EmHhxNr6nk%2BAu3VC9HmTXTqA%3D%3D HTTP/1.1" 200 31211
[21/Mar/2018 03:07:13]"GET /static/assets/css/bootstrap/bootstrap-theme.min.css HTTP/1.1" 200 23409
[21/Mar/2018 03:07:13]"GET /static/assets/css/owl.carousel.css HTTP/1.1" 200 8871
[21/Mar/2018 03:07:13]"GET /static/assets/css/ionicons.min.css HTTP/1.1" 200 51284
[21/Mar/2018 03:07:13]"GET /static/assets/css/flexslider.css HTTP/1.1" 200 6838
[21/Mar/2018 03:07:13]"GET /static/assets/css/bootstrap/bootstrap.min.css HTTP/1.1" 200 121260
[21/Mar/2018 03:07:13]"GET /static/assets/css/style.css HTTP/1.1" 200 167842
[21/Mar/2018 03:07:13]"GET /static/assets/js/bootstrap/bootstrap.min.js HTTP/1.1" 200 36868
[21/Mar/2018 03:07:13]"GET /static/assets/js/jquery.flexslider-min.js HTTP/1.1" 200 22034
[21/Mar/2018 03:07:14]"GET /static/assets/js/owl.carousel.min.js HTTP/1.1" 200 40401
[21/Mar/2018 03:07:14]"GET /static/assets/css/magnific-popup.css HTTP/1.1" 200 8945
[21/Mar/2018 03:07:14]"GET /static/assets/js/isotope.min.js HTTP/1.1" 200 40847
[21/Mar/2018 03:07:14]"GET /static/assets/js/jquery.magnific-popup.min.js HTTP/1.1" 200 21200
[21/Mar/2018 03:07:15]"GET /static/assets/js/jquery.scrollTo.min.js HTTP/1.1" 200 2447
[21/Mar/2018 03:07:15]"GET /static/assets/js/jquery.min.js HTTP/1.1" 200 84345
[21/Mar/2018 03:07:15]"GET /static/assets/js/smooth.scroll.min.js HTTP/1.1" 200 6589
[21/Mar/2018 03:07:15]"GET /hnph/?nsukey=mZruuvtzUggNIehZugxY1wA%2BRZ2iASUtpekElLmiSSG5z7%2B4VuMz9%2BRyX12EIZ4nYuHb%2B%2BFPV1agox27vmSMJ9rDD7sCNn11YDyMtUBxj6IFkuqSDSmw7YRqcXrFHNLCm7gvXMqGbirbEAot7fWDJF5UxLUF5QBXU%2BAONUhwwzLVRrd0Jg7CtvS%2BVPDW08EmHhxNr6nk%2BAu3VC9HmTXTqA%3D%3D HTTP/1.1" 200 31211
[21/Mar/2018 03:07:16]"GET /static/assets/js/jquery.appear.js HTTP/1.1" 200 1485
[21/Mar/2018 03:07:16]"GET /static/assets/js/jquery.countTo.js HTTP/1.1" 200 949
[21/Mar/2018 03:07:16]"GET /static/assets/js/jquery.scrolly.js HTTP/1.1" 200 2273
[21/Mar/2018 03:07:16]"GET /static/assets/js/plugins-scroll.js HTTP/1.1" 200 6305
[21/Mar/2018 03:07:16]"GET /static/assets/js/imagesloaded.min.js HTTP/1.1" 200 8113
[21/Mar/2018 03:07:16]"GET /static/assets/js/pace.min.js HTTP/1.1" 200 12507
[21/Mar/2018 03:07:16]"GET /static/assets/js/main.js HTTP/1.1" 200 15025
[21/Mar/2018 03:07:18]"GET /hnph/?nsukey=mZruuvtzUggNIehZugxY1wA%2BRZ2iASUtpekElLmiSSG5z7%2B4VuMz9%2BRyX12EIZ4nYuHb%2B%2BFPV1agox27vmSMJ9rDD7sCNn11YDyMtUBxj6IFkuqSDSmw7YRqcXrFHNLCm7gvXMqGbirbEAot7fWDJF5UxLUF5QBXU%2BAONUhwwzLVRrd0Jg7CtvS%2BVPDW08EmHhxNr6nk%2BAu3VC9HmTXTqA%3D%3D HTTP/1.1" 200 31211
[21/Mar/2018 03:07:18]"GET /static/assets/css/owl.carousel.css HTTP/1.1" 200 8871
[21/Mar/2018 03:07:18]"GET /static/assets/css/ionicons.min.css HTTP/1.1" 200 51284
[21/Mar/2018 03:07:18]"GET /static/assets/css/bootstrap/bootstrap-theme.min.css HTTP/1.1" 200 23409
[21/Mar/2018 03:07:18]"GET /static/assets/css/flexslider.css HTTP/1.1" 200 6838
[21/Mar/2018 03:07:18]"GET /static/assets/css/magnific-popup.css HTTP/1.1" 200 8945
[21/Mar/2018 03:07:18]"GET /static/assets/js/bootstrap/bootstrap.min.js HTTP/1.1" 200 36868
[21/Mar/2018 03:07:19]"GET /static/assets/js/jquery.min.js HTTP/1.1" 200 84345
